iter	Passed	Remaining
400	19368	28931
401	19446	28927
402	19494	28879
403	19540	28826
404	19586	28775
405	19633	28725
406	19678	28672
407	19738	28640
408	19789	28595
409	19841	28552
410	19885	28497
411	19932	28446
412	19977	28394
413	20021	28339
414	20066	28286
415	20109	28231
416	20153	28175
417	20202	28129
418	20247	28076
419	20299	28031
420	20342	27977
421	20394	27933
422	20445	27889
423	20495	27842
424	20539	27788
425	20582	27733
426	20630	27684
427	20675	27631
428	20723	27582
429	20767	27529
430	20809	27472
431	20855	27420
432	20908	27379
433	20954	27327
434	20998	27274
435	21042	27219
436	21100	27183
437	21152	27141
438	21196	27087
439	21242	27035
440	21309	27010
441	21353	26957
442	21401	26908
443	21444	26853
444	21489	26802
445	21534	26749
446	21580	26697
447	21627	26648
448	21671	26594
449	21719	26546
450	21773	26504
451	21820	26455
452	21874	26413
453	21919	26361
454	21965	26310
455	22011	26258
456	22054	26204
457	22098	26151
458	22159	26118
459	22208	26070
460	22254	26020
461	22300	25969
462	22348	25920
463	22393	25868
464	22436	25814
465	22483	25764
466	22531	25715
467	22573	25660
468	22619	25609
469	22665	25558
470	22728	25527
471	22773	25475
472	22824	25430
473	22868	25377
474	22916	25328
475	22961	25276
476	23004	25222
477	23052	25174
478	23101	25126
479	23145	25073
480	23189	25021
481	23244	24980
482	23291	24931
483	23341	24884
484	23384	24830
485	23432	24782
486	23474	24727
487	23519	24676
488	23559	24619
489	23608	24571
490	23652	24519
491	23698	24468
492	23743	24417
493	23795	24373
494	23856	24338
495	23920	24306
496	23980	24269
497	24026	24219
498	24073	24170
499	24121	24121
500	24172	24075
501	24221	24028
502	24268	23979
503	24319	23933
504	24365	23882
505	24413	23834
506	24462	23787
507	24521	23748
508	24574	23705
509	24629	23663
510	24679	23616
511	24731	23572
512	24785	23529
513	24848	23494
514	24913	23462
515	24969	23420
516	25016	23371
517	25060	23319
518	25103	23265
519	25149	23214
520	25194	23163
521	25239	23112
522	25287	23063
523	25332	23011
524	25375	22958
525	25419	22906
526	25465	22855
527	25510	22804
528	25555	22753
529	25604	22705
